ProjectName,LayerCategory,CategoryID,Board,MeetingFormat,MeetingType,MeetingDate,ArcGIS_Date,MeetingYear,Status,AgendaItemID,AgendaItemNumber,AgendaItemType,ProjectTitle,Summary,ActionTaken,Outcome,MotionText,ProposedBy,SecondedBy,VoteResult,ApplicantName,ApplicationID,District,LocationName,Location,Latitude,Longitude,GeocodeConfidence,StaffCode,Filename,Document_Link,RecordType,LocationSeq,IsPrimary,ParcelID
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-03-12,2024-03-12,2024,Accepted,363,1,Unknown,"Cell Phone Tower - Bella Terra - Zoning Amendment (DCI2023-E002) (District 7) 19980 Bella Terra Boulevard, ±12.44 acres, partially cleared located on Corkscrew Road, west of Bella Terra's entrance and south of Wild Blue. Final Action Agenda/Minute...","Cell Phone Tower - Bella Terra - Zoning Amendment (DCI2023-E002) (District 7) 19980 Bella Terra Boulevard, ±12.44 acres, partially cleared located on Corkscrew Road, west of Bella Terra's entrance and south of Wild Blue. Final Action Agenda/Minutes are su. Action: Recommended to Council to approve amendment to Commercial Planned Development to add the use of Wireless Communication Facility with staff conditions and an additional condition to provide an updated letter from the engineer address...",Recommended to Council to approve amendment to Commercial Planned Development to add the use of Wireless Communication Facility with staff conditions and an additional condition to provide an updated letter from the engineer addressing the taller tower height and the fall radius,Recommended to Council to approve amendment to Commercial Planned Development to add the use of Wireless Communication Facility with staff conditions and an additional condition to provide an updated letter from the engineer addressing the taller tower height and the fall radius,,,,See minutes,,DCI2023-E002,7,19980 BELLA TERRA BLVD,19980 BELLA TERRA BLVD,26.4505876442332,-81.73116264197117,0.98,null,03122024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/03122024%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,204626E3010C100CE
"Ordinance No. 2024-05 Bella Terra Cell Tower An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Development to Allow the use of Wireless Com...",Commercial & Mixed-Use Development,2,Village Council,Regular Meeting,Village Council,2024-04-03,2024-04-03,2024,Accepted,473,10,Ordinance,"Ordinance No. 2024-05 Bella Terra Cell Tower An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Development to Allow the use of Wireless Com...","Ordinance No. 2024-05 Bella Terra Cell Tower An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Development to Allow the use of Wireless Communicati. Action: Passed first reading of Ordinance No. 2024-05 and set public hearing and second reading for April 17, 2024","Passed first reading of Ordinance No. 2024-05 and set public hearing and second reading for April 17, 2024","Passed first reading of Ordinance No. 2024-05 and set public hearing and second reading for April 17, 2024","Passed first reading of Ordinance No. 2024-05 and set public hearing and second reading for April 17, 2024",,,Detected,,Ordinance No. 2024-05,,"19980 Bella Terra Boulevard, Estero, FL","19980 Bella Terra Boulevard, Estero, FL",26.450582796918,-81.73115952021,1.0,TD/CS,04032024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/04032024%20minutes.pdf,AgendaItemLocation,1,true,
"Ordinance No. 2024-05 Bella Terra Cell Tower Applicant has asked for a continuance to May 1, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bel...",Commercial & Mixed-Use Development,2,Village Council,Regular Meeting,Village Council,2024-04-17,2024-04-17,2024,Accepted,593,5,Vote,"Ordinance No. 2024-05 Bella Terra Cell Tower Applicant has asked for a continuance to May 1, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bel...","Ordinance No. 2024-05 Bella Terra Cell Tower Applicant has asked for a continuance to May 1, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra. Action: Approved continuance to May 1, 2024","Approved continuance to May 1, 2024","Approved continuance to May 1, 2024","Approved continuance to May 1, 2024",,,Detected,,Ordinance No. 2024-05,,"19980 Bella Terra Boulevard, Estero, FL","19980 Bella Terra Boulevard, Estero, FL",26.450582796918,-81.73115952021,1.0,TD/CS,04172024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/04172024%20minutes.pdf,AgendaItemLocation,1,true,
"Ordinance No. 2024-05 Bella Terra Cell Tower This was deferred from April 17, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Develo...",Commercial & Mixed-Use Development,2,Village Council,Regular Meeting,Village Council,2024-05-01,2024-05-01,2024,Accepted,657,9,Ordinance,"Ordinance No. 2024-05 Bella Terra Cell Tower This was deferred from April 17, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Develo...","Ordinance No. 2024-05 Bella Terra Cell Tower This was deferred from April 17, 2024 An Ordinance of the Village Council of the Village of Estero, Florida, Approving an Amendment to the Commercial Planned Development Zoning in the Bella Terra Development to. Action: Approved Ordinance No. 2024-05 with amending condition #4 to state, ""The tower will not contain any lights on the tower including the top, unless lighting is required by any agency with jurisdiction to require lighting, but will be...","Approved Ordinance No. 2024-05 with amending condition #4 to state, ""The tower will not contain any lights on the tower including the top, unless lighting is required by any agency with jurisdiction to require lighting, but will be taped consistent with Land Development Code.""","Approved Ordinance No. 2024-05 with amending condition #4 to state, ""The tower will not contain any lights on the tower including the top, unless lighting is required by any agency with jurisdiction to require lighting, but will be taped consistent with Land Development Code.""","Approved Ordinance No. 2024-05 with amending condition #4 to state, ""The tower will not contain any lights on the tower including the top, unless lighting is required by any agency with jurisdiction to require lighting, but will be taped consistent with Land Development Code.""",,,Detected,Land Development Code,Ordinance No. 2024-05,,"19980 Bella Terra Boulevard, Estero, FL","19980 Bella Terra Boulevard, Estero, FL",26.450582796918,-81.73115952021,1.0,TD/CS,05012024 minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/05012024%20minutes.pdf,AgendaItemLocation,1,true,
"Henning RMS CPD - Rezoning (Pending Submittal) (District 4) Two parcels of property are located at 20741 and 20771 S. Tamiami Trail, east of US 41 and south of Broadway and the Estero Methodist Church. Applicant is seeking to rezone the properties...",Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-09-10,2024-09-10,2024,Accepted,1490,6,Public Comment,"Henning RMS CPD - Rezoning (Pending Submittal) (District 4) Two parcels of property are located at 20741 and 20771 S. Tamiami Trail, east of US 41 and south of Broadway and the Estero Methodist Church. Applicant is seeking to rezone the properties...","Henning RMS CPD - Rezoning (Pending Submittal) (District 4) Two parcels of property are located at 20741 and 20771 S. Tamiami Trail, east of US 41 and south of Broadway and the Estero Methodist Church. Applicant is seeking to rezone the properties current. Action: No formal action recorded. Henning RMS CPD - Rezoning (Pending Submittal) (District 4) Two parcels of property are located at 20741 and 20771 S. Tamiami Trail, east of US 41 and south of Broadway and the Estero Methodist Church. App...","No formal action recorded. Henning RMS CPD - Rezoning (Pending Submittal) (District 4) Two parcels of property are located at 20741 and 20771 S. Tamiami Trail, east of US 41 and south of Broadway and the Estero Methodist Church. Applicant is seeking to rezone the properties currently zoned Commercial Planned Development (CPD) and Urban Commercial Redevelopment (UCR) to Commercial Planned Development. The applicant plans to remove the existing buildings and redevelop the site with a 16,000 square foot commercial building. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Village Land Use Attorney Presentation/Information by Wayne Arnold, Planning Director, GradyMinor Board Questions or Comments Board Members Wallace, Sheeley, Jeannin, and Tatooles. Public Comment None. 7","No formal action recorded. Henning RMS CPD - Rezoning (Pending Submittal) (District 4) Two parcels of property are located at 20741 and 20771 S. Tamiami Trail, east of US 41 and south of Broadway and the Estero Methodist Church. Applicant is seeking to rezone the properties currently zoned Commercial Planned Development (CPD) and Urban Commercial Redevelopment (UCR) to Commercial Planned Development. The applicant plans to remove the existing buildings and redevelop the site with a 16,000 square foot commercial building. Staff Presentation/Comments Mary Gibbs, Community Development Director Nancy Stroud, Village Land Use Attorney Presentation/Information by Wayne Arnold, Planning Director, GradyMinor Board Questions or Comments Board Members Wallace, Sheeley, Jeannin, and Tatooles. Public Comment None. 7",,,,,,,4,20771 S TAMIAMI TRL,20771 S TAMIAMI TRL,26.438067892298672,-81.81034230320134,0.98,null,09102024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/09102024%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,284625E3050000030
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2021-12-14,2021-12-14,2021,Accepted,2224,3,Ordinance,"Pavich Development Order (District 5) 21250 Happy Hollow Lane and 8910 Corkscrew Road, located on the south side of Corkscrew Road and west of Via Coconut Point. Applicant requests review of a proposed commercial building Village Council approved...","Pavich Development Order (District 5) 21250 Happy Hollow Lane and 8910 Corkscrew Road, located on the south side of Corkscrew Road and west of Via Coconut Point. Applicant requests review of a proposed commercial building Village Council approved the rezo. Action: No formal action recorded. Pavich Development Order (District 5) 21250 Happy Hollow Lane and 8910 Corkscrew Road, located on the south side of Corkscrew Road and west of Via Coconut Point.  Applicant requests review of a proposed co...","No formal action recorded. Pavich Development Order (District 5) 21250 Happy Hollow Lane and 8910 Corkscrew Road, located on the south side of Corkscrew Road and west of Via Coconut Point.  Applicant requests review of a proposed commercial building Village Council approved the rezoning on March 3, 2021- Zoning Ordinance 2021-02 There were no ex-parte communications or conflicts of interest noted. Chairman Levitan drove by the site. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: James Ink, P.E., Waldrop Engineering Public Comment: None. Board Questions or Comments: Board Members Wallace, Sheeley, Gargano, Jones, Naratil, and Chairman Levitan. 7","No formal action recorded. Pavich Development Order (District 5) 21250 Happy Hollow Lane and 8910 Corkscrew Road, located on the south side of Corkscrew Road and west of Via Coconut Point.  Applicant requests review of a proposed commercial building Village Council approved the rezoning on March 3, 2021- Zoning Ordinance 2021-02 There were no ex-parte communications or conflicts of interest noted. Chairman Levitan drove by the site. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: James Ink, P.E., Waldrop Engineering Public Comment: None. Board Questions or Comments: Board Members Wallace, Sheeley, Gargano, Jones, Naratil, and Chairman Levitan. 7","No formal action recorded. Pavich Development Order (District 5) 21250 Happy Hollow Lane and 8910 Corkscrew Road, located on the south side of Corkscrew Road and west of Via Coconut Point.  Applicant requests review of a proposed commercial building Village Council approved the rezoning on March 3, 2021- Zoning Ordinance 2021-02 There were no ex-parte communications or conflicts of interest noted. Chairman Levitan drove by the site. Staff Presentation/Comments: Mary Gibbs, Community Development Director Presentation/Information by: James Ink, P.E., Waldrop Engineering Public Comment: None. Board Questions or Comments: Board Members Wallace, Sheeley, Gargano, Jones, Naratil, and Chairman Levitan. 7",,,Detected,,Ordinance 2021-02,5,21250 HAPPY HOLLOW LN,21250 HAPPY HOLLOW LN,26.43100891473684,-81.80627237841547,0.98,null,12142021 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/12142021%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,334625E2U19602366
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2024-10-29,2024-10-29,2024,Accepted,1873,5,Vote,"Starbucks - Estero Town Commons - Development Order (DOS2024-E001) (District 4) 21301 Town Commons Drive, ± 1.4-acre vacant parcel on the corner of Corkscrew Road and Town Commons Drive in Estero Town Center Commercial Planned Development (CPD) Al...","Starbucks - Estero Town Commons - Development Order (DOS2024-E001) (District 4) 21301 Town Commons Drive, ± 1.4-acre vacant parcel on the corner of Corkscrew Road and Town Commons Drive in Estero Town Center Commercial Planned Development (CPD) Also known. Action: Approved the Development Order with staff stipulation and with added landscaping on the North side",Approved the Development Order with staff stipulation and with added landscaping on the North side,Approved the Development Order with staff stipulation and with added landscaping on the North side,Approved the Development Order with staff stipulation and with added landscaping on the North side,,,See minutes,,DOS2024-E001,4,21301 TOWN COMMONS DR,21301 TOWN COMMONS DR,26.430779622713892,-81.78597422303042,0.98,null,10292024 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2024%20Minutes/PZDB/10292024%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E1390000010
"Estero Town Commons Restaurant - Development Order (Application pending) (District 4) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meeti...",Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-03-14,2023-03-14,2023,Accepted,370,3,Ordinance,"Estero Town Commons Restaurant - Development Order (Application pending) (District 4) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meeti...","Estero Town Commons Restaurant - Development Order (Application pending) (District 4) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from. Action: No formal action recorded. Estero Town Commons Restaurant - Development Order (Application pending) (District 4) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Vid...","No formal action recorded. Estero Town Commons Restaurant - Development Order (Application pending) (District 4) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date.  21301 Town Commons Drive, ± 1.4-acre vacant parcel on the corner of Corkscrew Road and Town Commons Drive in Estero Town Center Commercial Planned Development (CPD) Also known as Lowes Plaza. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Jeffrey Williams, Via Zoom Public Comment None. Board Questions or Comments Board Members Jeannin, Wallace, Sheeley, Vice Chairman Gargano","No formal action recorded. Estero Town Commons Restaurant - Development Order (Application pending) (District 4) Final Action Agenda/Minutes are supplemented by audio and video recordings of the meetings, as well as transcripts. Video recordings of Design Review Board meetings from June 8, 2016, forward, as well agendas, staff reports, resolutions, ordinances, and other documents related to the meetings can be viewed online at https://estero-fl.gov/agendas/ at the corresponding meeting date.  21301 Town Commons Drive, ± 1.4-acre vacant parcel on the corner of Corkscrew Road and Town Commons Drive in Estero Town Center Commercial Planned Development (CPD) Also known as Lowes Plaza. Staff Presentation/Comments Mary Gibbs, Community Development Director Presentation/Information by Jeffrey Williams, Via Zoom Public Comment None. Board Questions or Comments Board Members Jeannin, Wallace, Sheeley, Vice Chairman Gargano",,,,,June 8,,4,21301 TOWN COMMONS DR,21301 TOWN COMMONS DR,26.430779622713892,-81.78597422303042,0.98,null,03142023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/03142023%20PZDB%20Minutes.pdf,AgendaItemLocation,1,true,354625E1390000010
"(Quasi-Judicial) Planning Zoning & Design Board Minutes - Tuesday, August 24, 2021 Page 1 of 5 The public will have an opportunity to speak for five minutes per agenda item. a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vac...",Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2021-08-24,2021-08-24,2021,Accepted,1372,4,Unknown,"(Quasi-Judicial) Planning Zoning & Design Board Minutes - Tuesday, August 24, 2021 Page 1 of 5 The public will have an opportunity to speak for five minutes per agenda item. a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vac...","(Quasi-Judicial) Planning Zoning & Design Board Minutes - Tuesday, August 24, 2021 Page 1 of 5 The public will have an opportunity to speak for five minutes per agenda item. a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vacation (V. Action: No formal action recorded. (Quasi-Judicial) Planning Zoning & Design Board Minutes - Tuesday, August 24, 2021 Page 1 of 5 The public will have an opportunity to speak for five minutes per agenda item. a. Via Coconut (District 5) --...","No formal action recorded. (Quasi-Judicial) Planning Zoning & Design Board Minutes - Tuesday, August 24, 2021 Page 1 of 5 The public will have an opportunity to speak for five minutes per agenda item. a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vacation (VAC2019-E001) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Road. Chairman Wood provided information regarding Board business and quasi-judicial hearings. All audience members and staff providing testimony for the hearing were sworn in by Village Land Use Counsel Stroud. Village Land Use Counsel Stroud asked if there was any ex parte communication. Chairman Levitan had a Zoom conference call with a representative of the applicant. Boardmember Sheeley received an email to his personal email account from Matthew Kragh with ","No formal action recorded. (Quasi-Judicial) Planning Zoning & Design Board Minutes - Tuesday, August 24, 2021 Page 1 of 5 The public will have an opportunity to speak for five minutes per agenda item. a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vacation (VAC2019-E001) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Road. Chairman Wood provided information regarding Board business and quasi-judicial hearings. All audience members and staff providing testimony for the hearing were sworn in by Village Land Use Counsel Stroud. Village Land Use Counsel Stroud asked if there was any ex parte communication. Chairman Levitan had a Zoom conference call with a representative of the applicant. Boardmember Sheeley received an email to his personal email account from Matthew Kragh with ",,,,,,DCI2019-E003,5,21331 HAPPY HOLLOW LN,21331 HAPPY HOLLOW LN,26.42889991964289,-81.8056086384823,0.95,null,08242021 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/08242021%20PZDB%20Minutes.pdf,AgendaItemLocation,4,false,334625E2U19672342
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2021-08-10,2021-08-10,2021,Accepted,1337,2,Vote,"PUBLIC HEARINGS (Quasi-Judicial) a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vacation (VAC2019-E001) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located sou...","PUBLIC HEARINGS (Quasi-Judicial) a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vacation (VAC2019-E001) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Co. Action: Approved motion for a continuance until the August 24, 2021 meeting due to lack of time","Approved motion for a continuance until the August 24, 2021 meeting due to lack of time","Approved motion for a continuance until the August 24, 2021 meeting due to lack of time","Approved motion for a continuance until the August 24, 2021 meeting due to lack of time",,,See minutes,,DCI2019-E003,5,21331 HAPPY HOLLOW LN,21331 HAPPY HOLLOW LN,26.42889991964289,-81.8056086384823,0.95,null,08102021 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/08102021%20PZDB%20Minutes.pdf,AgendaItemLocation,4,false,334625E2U19672342
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2021-08-10,2021-08-10,2021,Accepted,1340,5,Vote,"(Quasi-Judicial) a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vacation (VAC2019-E001) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew...","(Quasi-Judicial) a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vacation (VAC2019-E001) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and. Action: No formal action recorded. (Quasi-Judicial) a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vacation (VAC2019-E001) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane....","No formal action recorded. (Quasi-Judicial) a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vacation (VAC2019-E001) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Road. Motion: Motion for a continuance until the August 24, 2021 meeting due to the lack of time. Motion by: Chairman Levitan Seconded by: Board Member Tatooles Action: Approved motion for a continuance until the August 24, 2021 meeting due to lack of time. Vote: Aye: Board Members Jones, Naratil, Tatooles, Wallace, Jeannin, Gargano, Chairman Levitan, and Chairman Wood Nay: Abstentions","No formal action recorded. (Quasi-Judicial) a. Via Coconut (District 5) -- Rezoning (DCI2019-E003) & Right of Way Vacation (VAC2019-E001) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Road. Motion: Motion for a continuance until the August 24, 2021 meeting due to the lack of time. Motion by: Chairman Levitan Seconded by: Board Member Tatooles Action: Approved motion for a continuance until the August 24, 2021 meeting due to lack of time. Vote: Aye: Board Members Jones, Naratil, Tatooles, Wallace, Jeannin, Gargano, Chairman Levitan, and Chairman Wood Nay: Abstentions","Motion: Motion for a continuance until the August 24, 2021 meeting due to the lack of time. Motion by: Chairman Levitan Seconded by: Board Member Tatooles",Chairman Levitan,Board Member Tatooles,See minutes,,DCI2019-E003,5,21331 HAPPY HOLLOW LN,21331 HAPPY HOLLOW LN,26.42889991964289,-81.8056086384823,0.95,null,08102021 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2021%20Minutes/PZDB%20Minutes/08102021%20PZDB%20Minutes.pdf,AgendaItemLocation,4,false,334625E2U19672342
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2022-01-11,2022-01-11,2022,Accepted,64,4,Public Comment,"Via Coconut Development Order (D.O. # TBD) (District 5) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point","Via Coconut Development Order (D.O. # TBD) (District 5) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point. Action: No formal action recorded. Via Coconut Development Order (D.O. # TBD) (District 5) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point. Staff...","No formal action recorded. Via Coconut Development Order (D.O. # TBD) (District 5) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point. Staff Presentation/Comments Mary Gibbs, Community Development Director Planning Zoning and Design Board Minutes - January 11, 2022, Page 5 of 6 Presentation/Information by D. Brent Addison, P.E., Banks Engineering Mark McLean, MHK Architecture & Planning Christian Andrea, Architectural Land Design Public Comment In Person Bob Girsch, Genova Board Questions or Comments Board Members Wallace, Jeannin, Sheeley, Jones, Naratil, Chairman Wood, and Chairman Levitan. 7","No formal action recorded. Via Coconut Development Order (D.O. # TBD) (District 5) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point. Staff Presentation/Comments Mary Gibbs, Community Development Director Planning Zoning and Design Board Minutes - January 11, 2022, Page 5 of 6 Presentation/Information by D. Brent Addison, P.E., Banks Engineering Mark McLean, MHK Architecture & Planning Christian Andrea, Architectural Land Design Public Comment In Person Bob Girsch, Genova Board Questions or Comments Board Members Wallace, Jeannin, Sheeley, Jones, Naratil, Chairman Wood, and Chairman Levitan. 7",,,,,,,5,21331 HAPPY HOLLOW LN,21331 HAPPY HOLLOW LN,26.42889991964289,-81.8056086384823,0.95,null,01112022 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2022%20MINUTES/PZD%20BOARD/01112022%20PZDB%20Minutes.pdf,AgendaItemLocation,4,false,334625E2U19672342
Corkscrew Road,Commercial & Mixed-Use Development,2,Planning Zoning & Design Board,Regular Meeting,Planning Zoning & Design Board,2023-01-11,2023-01-11,2023,Accepted,69,4,Public Comment,"Via Coconut Development Order (D.O. # TBD) (District 5) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point","Via Coconut Development Order (D.O. # TBD) (District 5) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point. Action: No formal action recorded. Via Coconut Development Order (D.O. # TBD) (District 5) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point. Staff...","No formal action recorded. Via Coconut Development Order (D.O. # TBD) (District 5) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point. Staff Presentation/Comments Mary Gibbs, Community Development Director Planning Zoning and Design Board Minutes - January 11, 2022, Page 5 of 6 Presentation/Information by D. Brent Addison, P.E., Banks Engineering Mark McLean, MHK Architecture & Planning Christian Andrea, Architectural Land Design Public Comment In Person Bob Girsch, Genova Board Questions or Comments Board Members Wallace, Jeannin, Sheeley, Jones, Naratil, Chairman Wood, and Chairman Levitan. 7","No formal action recorded. Via Coconut Development Order (D.O. # TBD) (District 5) 8990 Corkscrew Road, 21650 & 21750 Via Coconut Point, 21331, 21350 & 21351 Happy Hollow Lane. Properties are located south of Corkscrew Road and west of Via Coconut Point. Staff Presentation/Comments Mary Gibbs, Community Development Director Planning Zoning and Design Board Minutes - January 11, 2022, Page 5 of 6 Presentation/Information by D. Brent Addison, P.E., Banks Engineering Mark McLean, MHK Architecture & Planning Christian Andrea, Architectural Land Design Public Comment In Person Bob Girsch, Genova Board Questions or Comments Board Members Wallace, Jeannin, Sheeley, Jones, Naratil, Chairman Wood, and Chairman Levitan. 7",,,,,,,5,21331 HAPPY HOLLOW LN,21331 HAPPY HOLLOW LN,26.42889991964289,-81.8056086384823,0.95,null,01112023 PZDB Minutes.pdf,https://estero-fl.gov/wp-content/uploads/library-ada/minutes/2023%20MINUTES/PZDB/01112023%20PZDB%20Minutes.pdf,AgendaItemLocation,4,false,334625E2U19672342
